x	BH.Q	ADJ.P	PER	LAG	AMP	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0032684	0.451877853755579	0.0324589646464646	24	14	77.1813941557966	698.801482059701	735.495498777699	594.818436391402	954.298126405983	887.538178273106	770.094085737807	709.582655990723	764.322268530888	779.394914395972	883.618874610708	873.68509031861	816.43279989301
FBgn0263133	0.451877853755579	0.0324589646464646	24	16	76.6665837215474	517.155836875987	507.582696070042	532.910469734632	616.940842800841	659.668735899292	624.742212579792	537.404511522386	539.94347924367	597.47862353585	652.968359546884	629.416827095591	658.971401474403
FBgn0035089	0.451877853755579	0.0324589646464646	28	2	76.1245258383923	654.99282645657	744.575690120633	545.459381894788	643.764357705225	490.318294290737	538.975579349907	692.886593496823	666.989003771593	596.616461019925	565.256191846556	545.343099288599	504.240547537043
FBgn0023550	0.451877853755579	0.0324589646464646	24	6	71.8963617647617	150.659035122963	255.153376736461	169.828611234113	342.515651855985	65.6122129792306	104.725573207017	154.438578068569	356.547117223524	150.878440286831	97.4579641114752	78.3930705227361	48.2396191687063
FBgn0031775	0.451877853755579	0.0324589646464646	24	20	69.1350152493931	433.812540850518	379.551998134664	327.944904452081	365.212472159695	394.55992940213	560.642939323773	367.313374865786	295.073476322917	378.489344490964	360.594467212458	461.269371481607	725.414650518093
FBgn0029664	0.451877853755579	0.0324589646464646	20	18	66.3246852914451	607.978659467844	499.4105238614	478.531850373955	592.180675196794	649.915569105082	602.172045940349	597.927738062771	566.582056967267	502.640746784128	674.625684904989	673.72595391279	585.24670048072
FBgn0036260	0.451877853755579	0.0324589646464646	24	8	65.3341132516025	633.622750552604	643.78556621406	705.248863400777	580.832265044939	592.283219866568	538.072772684329	654.276948979681	678.259171270037	728.527325956411	762.337852605317	590.788357562649	569.773615086984
FBgn0011787	0.451877853755579	0.0324589646464646	28	14	64.4187771581819	446.634586392898	440.389280132326	554.661917478903	555.040423790723	537.310825208294	496.543666067754	466.446245923313	446.708457211082	519.021834586698	463.46676266346	558.976676770814	552.480166705749
FBgn0035578	0.451877853755579	0.0324589646464646	24	20	63.1598893393308	317.345627173901	318.714716137003	281.932226531509	280.615232845867	381.260156500935	343.066532919539	374.617902206867	262.287534509259	253.475779681876	307.534020085099	385.148563872573	403.210401730885
FBgn0030431	0.451877853755579	0.0324589646464646	24	22	62.5273022737645	677.431406155735	631.981317468245	645.850679176037	627.257579302527	640.162402310872	765.580052409918	672.016515379449	576.827663784035	620.757011465818	559.84186050703	678.270479740195	881.055685949201
FBgn0031970	0.451877853755579	0.0324589646464646	24	20	61.371079894224	632.554246757406	559.339786724768	458.453590917705	566.388833942578	644.595659944603	653.632025878279	567.666124792578	560.434692877206	587.994835860678	665.962754761747	736.213184039609	743.618280393076
FBgn0036619	0.451877853755579	0.0324589646464646	24	0	60.9829155553341	504.333791333607	356.851519777328	225.043824738801	245.538328740134	294.368306879791	325.010399607984	398.618492041847	318.638372001483	302.619043089586	310.782618888815	266.990892360043	345.868967624687
FBgn0027620	0.451877853755579	0.0324589646464646	24	20	59.0836503157752	274.605475365968	225.188745304777	169.828611234113	227.999876687267	278.408579398357	273.550419670053	244.179913973278	156.757784296549	203.47035375824	179.755800472276	273.807681101151	284.886807543492
FBgn0032363	0.451877853755579	0.0324589646464646	20	18	58.9908873836345	1876.29266436825	1805.14203897539	1596.22162677186	1857.01257030353	1888.56775196975	1853.46208443109	1716.56392515403	1745.85140157726	1824.33588369677	1820.29819634878	1824.6271197031	1699.30884882971
FBgn0039544	0.451877853755579	0.0324589646464646	28	16	53.9178513604333	563.101500069515	577.500169410638	578.086553511194	637.574315804213	719.074388191298	619.325372586325	496.707859193506	607.564484234339	635.413774236539	625.896702849252	668.045296628534	688.097209274376
FBgn0266673	0.451877853755579	0.0324589646464646	24	18	52.844445618911	560.964492479118	559.339786724768	558.008294054944	634.479294853707	563.023719483938	640.992732560191	622.97183180362	543.017161288701	610.411061274721	629.145301652968	716.898949273138	648.049223549413
FBgn0033397	0.451877853755579	0.0324589646464646	24	4	52.3173223419301	512.881821695194	482.158160309825	458.453590917705	466.316489876221	365.3004290195	411.679839503447	501.925378722849	484.617202433123	474.189383758611	399.577652857048	404.462798639044	425.054757580865
FBgn0042185	0.451877853755579	0.0324589646464646	28	8	51.3486485227805	859.077051339449	872.606388056011	1062.47456289322	866.605866141649	874.23840537191	741.20427243932	820.194070012806	760.224025804181	875.094953663619	897.696136093477	783.930705227361	780.935721636792
FBgn0259834	0.451877853755579	0.0324589646464646	28	8	50.9877910615606	635.759758143001	675.566235914331	647.523867464058	733.519965269896	613.562856508481	511.891379382575	618.797816180145	659.817078999855	679.384062548701	691.951545191474	643.050404577806	523.354358905776
FBgn0000384	0.451877853755579	0.0324589646464646	28	10	50.5067886558711	755.432183205212	823.573354804164	870.894503914838	815.022183633218	803.306283232202	776.413732396851	698.104113026167	734.610008762261	738.011113631584	892.28180475395	819.15078038975	796.408807030528
FBgn0010052	0.451877853755579	0.0324589646464646	28	0	49.6986733388574	114.32990608622	59.9292628633681	40.9931130565101	25.7918412542157	11.5264698477027	16.2505199803992	107.480902304477	79.9157331707899	26.7270379936672	1.08286626790528	10.2251831116612	24.5749003312277
